matchId,winner_BOTTOM,winner_JUNGLE,winner_MIDDLE,winner_TOP,winner_UTILITY,loser_BOTTOM,loser_JUNGLE,loser_MIDDLE,loser_TOP,loser_UTILITY
EUW1_7169361774,MissFortune,Shaco,Yorick,Mordekaiser,Pyke,Lucian,Shyvana,Talon,Nautilus,Maokai
EUW1_7169381912,Kaisa,Shaco,Lux,KSante,Zyra,Lucian,Nunu,Talon,MonkeyKing,Karma
EUW1_7169396762,Caitlyn,Udyr,TahmKench,Chogath,Karma,Yasuo,Viego,Gangplank,KSante,Nautilus
EUW1_7169450909,Jhin,Volibear,Velkoz,Darius,Shen,MissFortune,Skarner,Brand,Singed,Senna
EUW1_7169745199,Caitlyn,Graves,Syndra,Malphite,Janna,Samira,Kayn,Akshan,Kennen,Rell
EUW1_7170083181,Lucian,Lillia,Hwei,Nasus,Teemo,Tristana,MasterYi,Yasuo,Nasus,FiddleSticks
EUW1_7170097872,Lucian,Tryndamere,,Nasus,Leona,Sivir,Evelynn,Ahri,Yorick,Nami
EUW1_7170566207,Jinx,Khazix,Karma,Vi,Yuumi,Lucian,Diana,Ahri,Vayne,Lulu
EUW1_7170607570,KogMaw,Diana,Yasuo,Sett,Brand,Lucian,Elise,Leblanc,DrMundo,Morgana
EUW1_7171015187,Jinx,Warwick,Kassadin,Shyvana,Brand,Swain,JarvanIV,Hwei,Varus,Senna
EUW1_7171325048,Ashe,Vi,Akali,Teemo,Renata,Ezreal,Kayn,Ahri,Smolder,Sona
EUW1_7171487163,Caitlyn,Kindred,Xerath,KSante,Velkoz,Lucian,Talon,Lux,Yorick,Nami
EUW1_7171509673,Ashe,XinZhao,Hwei,Ornn,TahmKench,Kaisa,Sett,Anivia,Yorick,Yuumi
EUW1_7171558512,TahmKench,JarvanIV,AurelionSol,Ornn,Senna,Jinx,Skarner,Naafiri,Camille,Brand
EUW1_7171583336,Ashe,Diana,Lissandra,Volibear,Milio,Ezreal,Viego,Sylas,Urgot,Bard
EUW1_7171603582,MissFortune,Nocturne,Syndra,Ornn,Poppy,Tristana,Ekko,Cassiopeia,Yasuo,Thresh
EUW1_7171604880,Nilah,Viego,Sylas,Garen,Zyra,MissFortune,Briar,Katarina,Yone,Nautilus
EUW1_7171718301,Ezreal,Viego,Veigar,Riven,Rakan,Zeri,Teemo,Lux,Kayn,Xerath
EUW1_7171770758,Ziggs,Kayn,Galio,Nasus,Nami,Ezreal,Zac,Akali,Shen,Renata
EUW1_7171777121,Jhin,Viego,Qiyana,Teemo,Xerath,Teemo,Volibear,Ahri,Yone,Tryndamere
EUW1_7171808860,MissFortune,Viego,Sylas,Mordekaiser,,Samira,,Sylas,MissFortune,Lux
EUW1_7171860018,Caitlyn,Viego,Xerath,Nasus,Lux,MissFortune,Warwick,Akali,Jayce,DrMundo
